
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
6000;12519.300000;68.045646;18000.000000;46.882812;6000;13070.200000;14.469278;17997.000000;46.882812;6000;13064.700000;18.439360;5999.000000;46.875000;
6100;12817.500000;98.496954;18300.000000;47.664062;6100;13290.700000;19.718266;18297.000000;47.664062;6100;13265.000000;11.983322;6099.000000;47.656250;
6200;12532.900000;387.833328;18600.000000;48.445312;6200;12980.600000;449.350242;18597.000000;48.445312;6200;12940.200000;442.514135;6199.000000;48.437500;
6300;12274.100000;112.939320;18900.000000;49.226562;6300;12798.600000;27.258760;18897.000000;49.226562;6300;12786.800000;21.811923;6299.000000;49.218750;
6400;12522.000000;79.963742;19200.000000;50.007812;6400;12997.900000;13.545848;19197.000000;50.007812;6400;12993.100000;20.368849;6399.000000;50.000000;
6500;12799.900000;69.494532;19500.000000;50.789062;6500;13235.600000;29.940608;19497.000000;50.789062;6500;13200.400000;23.913176;6499.000000;50.781250;
6600;12910.000000;59.216552;19800.000000;51.570312;6600;13426.600000;30.692670;19797.000000;51.570312;6600;13384.900000;21.412380;6599.000000;51.562500;
6700;13049.200000;74.898331;20100.000000;52.351562;6700;13631.500000;36.428697;20097.000000;52.351562;6700;13585.200000;22.386603;6699.000000;52.343750;
6800;13393.300000;86.083738;20400.000000;53.132812;6800;13833.500000;29.506779;20397.000000;53.132812;6800;13783.500000;21.157741;6799.000000;53.125000;
6900;13625.700000;71.421355;20700.000000;53.914062;6900;15425.700000;4163.348822;20697.000000;53.914062;6900;14015.000000;99.290483;6899.000000;53.906250;
7000;13590.700000;100.766115;21000.000000;54.695312;7000;14223.100000;21.878985;20997.000000;54.695312;7000;14195.900000;21.920082;6999.000000;54.687500;
7100;15316.200000;4109.454387;21300.000000;55.476562;7100;18339.500000;11712.854257;21297.000000;55.476562;7100;14491.300000;312.323566;7099.000000;55.468750;
7200;14021.800000;94.941877;21600.000000;56.257812;7200;14636.800000;28.191488;21597.000000;56.257812;7200;14583.500000;13.522204;7199.000000;56.250000;
7300;14220.700000;85.642338;21900.000000;57.039062;7300;14843.000000;34.879794;21897.000000;57.039062;7300;14796.000000;21.189620;7299.000000;57.031250;
7400;14390.200000;76.094415;22200.000000;57.820312;7400;15051.900000;31.107716;22197.000000;57.820312;7400;14988.800000;16.265300;7399.000000;57.812500;
7500;14611.900000;130.506283;22500.000000;58.601562;7500;19253.000000;12046.729440;22497.000000;58.601562;7500;16575.500000;4174.861585;7499.000000;58.593750;
7600;14769.700000;131.687547;22800.000000;59.382812;7600;17360.700000;5759.176609;22797.000000;59.382812;7600;16695.800000;3934.100858;7599.000000;59.375000;
7700;14968.500000;78.097695;23100.000000;60.164062;7700;15626.800000;22.595575;23097.000000;60.164062;7700;15596.800000;20.033971;7699.000000;60.156250;
7800;15276.600000;109.013027;23400.000000;60.945312;7800;15827.600000;25.429117;23397.000000;60.945312;7800;15796.400000;25.578116;7799.000000;60.937500;
7900;15426.700000;94.980051;23700.000000;61.726562;7900;16056.500000;41.093187;23697.000000;61.726562;7900;15994.400000;21.606481;7899.000000;61.718750;
8000;15644.000000;145.929435;24000.000000;62.507812;8000;16248.900000;36.895664;23997.000000;62.507812;8000;20093.900000;11717.057834;7999.000000;62.500000;
8100;15732.500000;168.509495;24300.000000;63.289062;8100;16448.900000;41.408815;24297.000000;63.289062;8100;16384.700000;15.336558;8099.000000;63.281250;
8200;15940.200000;77.699163;24600.000000;64.070312;8200;16657.300000;20.199257;24597.000000;64.070312;8200;16600.800000;13.541049;8199.000000;64.062500;
8300;16159.900000;96.916923;24900.000000;64.851562;8300;16852.900000;39.540991;24897.000000;64.851562;8300;16797.900000;19.216920;8299.000000;64.843750;
8400;16295.500000;85.148400;25200.000000;65.632812;8400;17043.100000;33.218820;25197.000000;65.632812;8400;16999.800000;16.636105;8399.000000;65.625000;
8500;18018.000000;4195.836389;25500.000000;66.414062;8500;18688.900000;4268.874101;25497.000000;66.414062;8500;23082.100000;12541.986561;8499.000000;66.406250;
8600;16910.900000;123.381887;25800.000000;67.195312;8600;17443.300000;26.328881;25797.000000;67.195312;8600;17405.000000;22.684797;8599.000000;67.187500;
8700;16860.700000;96.910319;26100.000000;67.976562;8700;21618.800000;11928.120865;26097.000000;67.976562;8700;20543.400000;8841.549380;8699.000000;67.968750;
8800;17173.400000;125.442577;26400.000000;68.757812;8800;17870.700000;27.853366;26397.000000;68.757812;8800;17820.100000;26.341792;8799.000000;68.750000;
8900;17160.300000;109.109166;26700.000000;69.539062;8900;18052.300000;15.792720;26697.000000;69.539062;8900;17995.100000;21.718425;8899.000000;69.531250;
9000;17483.400000;125.750706;27000.000000;70.320312;9000;18271.800000;34.040564;26997.000000;70.320312;9000;22268.800000;11807.598450;8999.000000;70.312500;
9100;17835.700000;105.108563;27300.000000;71.101562;9100;18478.200000;33.739591;27297.000000;71.101562;9100;18400.500000;23.354871;9099.000000;71.093750;
9200;17924.600000;89.723130;27600.000000;71.882812;9200;18669.600000;29.486268;27597.000000;71.882812;9200;18596.000000;19.219781;9199.000000;71.875000;
9300;18074.300000;74.318302;27900.000000;72.664062;9300;18855.000000;22.476655;27897.000000;72.664062;9300;18807.000000;21.748563;9299.000000;72.656250;
9400;18171.200000;127.326195;28200.000000;73.445312;9400;19060.200000;23.894769;28197.000000;73.445312;9400;19001.300000;20.693236;9399.000000;73.437500;
9500;18457.900000;45.616773;28500.000000;74.226562;9500;23324.100000;12093.034850;28497.000000;74.226562;9500;20579.400000;4131.942938;9499.000000;74.218750;
9600;19029.900000;609.036526;28800.000000;75.007812;9600;20794.500000;3972.851300;28797.000000;75.007812;9600;19416.800000;20.028979;9599.000000;75.000000;
9700;18968.300000;144.384937;29100.000000;75.789062;9700;19652.700000;32.056357;29097.000000;75.789062;9700;19611.700000;21.513019;9699.000000;75.781250;
9800;19102.600000;94.746187;29400.000000;76.570312;9800;19864.400000;31.718134;29397.000000;76.570312;9800;19819.800000;13.444702;9799.000000;76.562500;
9900;19181.800000;96.383401;29700.000000;77.351562;9900;20185.700000;364.543290;29697.000000;77.351562;9900;20017.900000;24.369858;9899.000000;77.343750;
10000;19294.600000;53.989258;30000.000000;78.132812;10000;21882.900000;4824.082720;29997.000000;78.132812;10000;20211.200000;20.028979;9999.000000;78.125000;
